scope,scenario,long_rule,short_rule,mode,instruments,eligible,positive_net,positive_gross,median_cagr,median_drawdown,median_full_return,positive_common,thin,thin_short_full,exhausted,trades,median_short_trades,short_contribution_positive,median_delta_long,median_delta_shared,improved_long,improved_shared,less_drawdown_long,improved_both_long
Watchlist ETFs & crypto,r18_r11,r18,r11,both,21,21,12,13,0.019028343303986617,-0.4058869034095546,0.1461491901629708,12,0,0,0,626,21,1,-0.03573451825295981,-0.002451242214168259,1,10,0,0
Watchlist ETFs & crypto,r18_r12,r18,r12,both,21,21,6,9,-0.00015147196851383882,-0.461933447198581,-0.08370312518563228,9,0,0,0,356,9,0,-0.06412935890372295,-0.015660071010314858,0,4,0,0
Watchlist ETFs & crypto,r18_r13,r18,r13,both,21,21,14,14,0.01515477232682172,-0.4066860189312026,0.1557340185758571,14,0,0,0,488,16,0,-0.03998581869882889,-0.0017574367201618202,0,10,0,0
Watchlist ETFs & crypto,r18_r14,r18,r14,both,21,21,14,15,0.01796435885332226,-0.37630199154090527,0.16865592459978407,13,0,0,0,432,12,0,-0.041350393879259206,-0.007248154634136972,1,8,0,0
Watchlist ETFs & crypto,r18_r15,r18,r15,both,21,21,14,14,0.028685830037453508,-0.3824254149574098,0.3009309478392186,14,0,0,0,506,16,1,-0.02813674419304002,0.014621369084033886,1,12,0,0
Watchlist ETFs & crypto,r18_r16,r18,r16,both,21,21,14,14,0.0277976079937996,-0.38504859482287623,0.2723478461763844,14,0,0,0,504,16,1,-0.0323073232590545,0.013304111512703165,1,12,0,0
Watchlist ETFs & crypto,r18_r17,r18,r17,both,21,21,15,16,0.017504502824595702,-0.361990159125543,0.2040944863440457,16,0,0,0,468,14,1,-0.0316578914377883,0.006646109333441563,0,12,0,0
Watchlist ETFs & crypto,r18_r18,r18,r18,both,21,21,12,14,0.008213546621878676,-0.3896233417540963,0.08381784216291699,12,0,14,0,247,4,1,-0.03797912275588056,0.0,1,0,1,1
Watchlist ETFs & crypto,r18_r19,r18,r19,both,21,21,16,16,0.04011158957715777,-0.33974247719764994,0.4061343543595095,16,0,1,0,298,6,2,-0.018538482067932405,0.024815380812982735,2,17,0,0
Watchlist ETFs & crypto,r18_r20,r18,r20,both,21,21,15,15,0.032624212543824305,-0.3292966719610061,0.3714815857813407,15,0,6,0,278,5,3,-0.025827587821947384,0.017453127508423538,3,16,1,1
Watchlist ETFs & crypto,r18_r21,r18,r21,both,21,21,16,16,0.04576622366244787,-0.334838870482996,0.5061634902414991,16,0,1,0,302,6,3,-0.009632419050293883,0.02990307537561543,4,17,2,1
Watchlist ETFs & crypto,r18_r22,r18,r22,both,21,21,16,16,0.04576622366244787,-0.334838870482996,0.5061634902414991,16,0,2,0,301,6,3,-0.010178810487681433,0.02757464159657652,4,17,3,2
Watchlist ETFs & crypto,r18_r23,r18,r23,both,21,21,16,16,0.045042746036885406,-0.31531059813464035,0.5426803877034865,16,0,4,0,287,6,4,-0.015576134680405529,0.02633417989156195,4,18,1,1
Watchlist ETFs & crypto,r18_r24,r18,r24,both,21,21,11,14,0.01069908091673466,-0.4196818685470136,0.12414288858213429,14,0,0,0,685,23,1,-0.04074051591304695,-0.0022188148947727138,1,10,0,0
Watchlist ETFs & crypto,r19_r00,r19,r00,both,21,21,0,0,-0.1021740800010158,-0.6742367283058891,-0.646822706181539,0,0,0,0,1077,32,0,-0.11546489816231853,-0.10029367833755143,0,0,0,0
Watchlist ETFs & crypto,r19_r01,r19,r01,both,21,21,0,0,-0.061574748462367435,-0.5737038817443135,-0.49035695585313754,0,0,0,0,1657,56,0,-0.08309935413097447,-0.0689328816554784,0,0,0,0
Watchlist ETFs & crypto,r19_r02,r19,r02,both,21,21,0,3,-0.07494711144837896,-0.6363291697807727,-0.5750063554920575,1,0,0,0,1358,42,0,-0.09965762077661222,-0.08390037096508662,0,0,0,0
Watchlist ETFs & crypto,r19_r03,r19,r03,both,21,21,1,2,-0.05594596607404545,-0.5100678706535899,-0.4842461650224186,1,0,0,0,1749,62,0,-0.06859624613678839,-0.047699501949116874,0,1,0,0
Watchlist ETFs & crypto,r19_r04,r19,r04,both,21,21,0,2,-0.058715790276373414,-0.5103253590263814,-0.4851339238644421,1,0,0,0,1725,61,0,-0.07184815482703433,-0.04720961981721994,0,0,0,0
Watchlist ETFs & crypto,r19_r05,r19,r05,both,21,21,0,1,-0.06327937188849009,-0.5767187708081838,-0.5088790670005252,0,0,0,0,1579,53,0,-0.0843404551616328,-0.06896146471945008,0,1,0,0
Watchlist ETFs & crypto,r19_r06,r19,r06,both,21,21,0,0,-0.08527660617406319,-0.6472420230084135,-0.5891992566953255,0,0,0,0,944,23,0,-0.09879925697653302,-0.08532674237100213,0,0,0,0
Watchlist ETFs & crypto,r19_r07,r19,r07,both,21,21,0,2,-0.045478208450151714,-0.5471716090354211,-0.4048379042037771,1,0,0,0,1339,41,0,-0.06409114326112075,-0.047168082199716244,0,0,0,0
Watchlist ETFs & crypto,r19_r08,r19,r08,both,21,21,1,3,-0.06194361993756392,-0.5555668724434306,-0.508563701331419,2,0,0,0,1164,33,0,-0.08102480609255236,-0.06054654642666435,0,0,0,0
Watchlist ETFs & crypto,r19_r09,r19,r09,both,21,21,1,2,-0.042181877427241554,-0.5035935648355157,-0.38150641107220407,1,0,0,0,1397,44,0,-0.05828243434387048,-0.04398340914131327,1,1,0,0
Watchlist ETFs & crypto,r19_r10,r19,r10,both,21,21,1,3,-0.045338914463892266,-0.47870841236180484,-0.39609533630826577,1,0,0,0,1383,43,0,-0.05954910945683067,-0.039758813355115,0,1,0,0
Watchlist ETFs & crypto,r19_r11,r19,r11,both,21,21,1,3,-0.04138193168493742,-0.5080841207595148,-0.38914263512303593,1,0,0,0,1287,38,0,-0.06204857707070344,-0.04460997701231406,0,1,0,0
Watchlist ETFs & crypto,r19_r12,r19,r12,both,21,21,1,4,-0.04525184710076113,-0.5228834337589168,-0.3941299159061725,1,0,0,0,734,11,1,-0.06381505867926263,-0.043939372215372585,1,1,0,0
Watchlist ETFs & crypto,r19_r13,r19,r13,both,21,21,2,8,-0.015439371712314465,-0.4023870086619151,-0.15381546094206078,2,0,0,0,896,17,1,-0.04446135203214574,-0.027607075463077058,1,4,0,0
Watchlist ETFs & crypto,r19_r14,r19,r14,both,21,21,2,4,-0.024703758142717636,-0.428755955823663,-0.2147300854784262,2,0,0,0,835,15,0,-0.05212694124352535,-0.023451359698922647,0,1,0,0
Watchlist ETFs & crypto,r19_r15,r19,r15,both,21,21,6,11,-0.012750574238211798,-0.38133041162453274,-0.10782959221960409,7,0,0,0,919,18,1,-0.03822185903798825,-0.016756963012513837,1,5,0,0
Watchlist ETFs & crypto,r19_r16,r19,r16,both,21,21,6,9,-0.013553403346085235,-0.38133041162453185,-0.12284092274450109,8,0,0,0,916,18,1,-0.033700582451055894,-0.016560892999620602,1,4,0,0
Watchlist ETFs & crypto,r19_r17,r19,r17,both,21,21,4,8,-0.017238468280225128,-0.41430390106317405,-0.16001303353910135,4,0,0,0,878,17,1,-0.03881908695962211,-0.021952820152886687,1,3,0,0
Watchlist ETFs & crypto,r19_r18,r19,r18,both,21,21,7,7,-0.02721279162787915,-0.4301627030089651,-0.23774966413012988,7,0,14,0,594,4,1,-0.037737526365938856,-0.02433265867097756,1,4,0,0
Watchlist ETFs & crypto,r19_r19,r19,r19,both,21,21,9,12,-0.0034851531517891,-0.31026852186988485,-0.03376985951317035,9,0,1,0,645,6,2,-0.018727552323414387,0.0,2,0,0,0
Watchlist ETFs & crypto,r19_r20,r19,r20,both,21,21,9,10,-0.010223550492604594,-0.34205405384595833,-0.09617165822580231,9,0,6,0,626,5,3,-0.024876740795843677,-0.006877561062410109,3,6,0,0
Watchlist ETFs & crypto,r19_r21,r19,r21,both,21,21,12,16,0.009151778239531394,-0.2648577947890295,0.09378310267534617,12,0,1,0,649,6,4,-0.009082933911928048,0.006633578756639613,4,17,0,0
Watchlist ETFs & crypto,r19_r22,r19,r22,both,21,21,13,16,0.009249557759673177,-0.26729051547351246,0.0948263720703415,13,0,2,0,648,6,4,-0.009647088097594292,0.006633578756639613,4,17,0,0
Watchlist ETFs & crypto,r19_r23,r19,r23,both,21,21,12,13,0.00497800834522466,-0.26958071989977583,0.05007466285473883,12,0,4,0,634,6,4,-0.012202725125456393,0.003702080573304678,4,17,0,0
Watchlist ETFs & crypto,r19_r24,r19,r24,both,21,21,1,3,-0.045338914463892266,-0.47870841236180484,-0.39609533630826577,1,0,0,0,1385,43,0,-0.05954910945683067,-0.039758813355115,0,1,0,0
