scope,mode,entry,exit,instruments,eligible,positive_full,positive_common,median_cagr,median_drawdown,median_full_return,thin_trade_samples,exhausted,channel_exit_share,closed_trades,neighbor_median
Whole universe,long,55,10,678,662,297,308,-0.002706503983072983,-0.341802715135056,-0.03182786537860016,1,0,0.15783328468370794,23981,-0.0022936541733897253
Whole universe,long,55,20,678,662,312,315,-0.0018808043637064675,-0.3438094527075114,-0.025754048842255295,1,0,0.00848077833742305,23229,-0.0018808043637064675
Whole universe,long,55,55,678,662,313,315,-0.0018835654946507407,-0.3428156953056001,-0.0239795874163804,1,0,8.621804543690995e-05,23197,-0.0018808043637064675
Whole universe,long,55,100,678,662,322,315,-0.0018835654946507407,-0.3428156953056001,-0.024326241293339934,1,0,4.4214528894194635e-05,22617,-0.0018120928198291641
Whole universe,long,100,10,678,662,311,304,-0.0030257307164807123,-0.3050434115275338,-0.018823183747667338,3,0,0.15229990079883046,19153,-0.0028661173497768477
Whole universe,long,100,20,678,662,308,311,-0.0016709947733211106,-0.3055679553266469,-0.019549498395720233,3,0,0.009484802759215347,18556,-0.0017406201450075875
Whole universe,long,100,55,678,662,307,309,-0.0017406201450075875,-0.3055679553266469,-0.022743401271979047,3,0,5.397819281010472e-05,18526,-0.0017406201450075875
Whole universe,long,100,100,678,662,307,309,-0.0017406201450075875,-0.3055679553266469,-0.022743401271979047,3,0,0.0,18526,-0.0018120928198291641
Whole universe,long,200,10,678,662,307,304,-0.003040051345724215,-0.2693244729939019,-0.025823043599430273,10,0,0.14377880184331798,15190,-0.0030257307164807123
Whole universe,long,200,20,678,662,318,315,-0.0016750760495486405,-0.2660290652788574,-0.011305965858097455,10,0,0.007805606461684654,14733,-0.0017850739377301417
Whole universe,long,200,55,678,662,315,312,-0.0018950718259116428,-0.26628955728243675,-0.011154734063648752,10,0,6.795786612300373e-05,14715,-0.0018178459854596152
Whole universe,long,200,100,678,662,315,312,-0.0018950718259116428,-0.26628955728243675,-0.011154734063648752,10,0,0.0,14715,-0.0018950718259116428
Whole universe,short,10,10,678,662,12,11,-0.09688174893849943,-0.677546890203689,-0.6441345322035614,1,0,0.17906368821292776,42080,-0.09688174893849943
Whole universe,short,10,20,678,662,15,10,-0.1000562483188388,-0.6861414953903705,-0.6557296266258543,1,1,0.015642539899458244,40978,-0.0982499872280814
Whole universe,short,10,55,678,662,15,10,-0.09961822551766336,-0.6857561307608133,-0.6531857863906144,1,1,0.0033875837690551585,40737,-0.09973427117309061
Whole universe,short,10,100,678,662,14,10,-0.09985031682851786,-0.6857561307608133,-0.6417880921262094,1,1,0.0025202115979638686,40076,-0.09961822551766336
Whole universe,short,20,10,678,662,15,17,-0.07334893934750136,-0.594239973765301,-0.5385998879222773,1,0,0.17275093198283745,28434,-0.07452350374181368
Whole universe,short,20,20,678,662,17,19,-0.075698068136126,-0.6015851971766399,-0.5456030746592111,1,1,0.010544119763926874,27788,-0.07561691170725077
Whole universe,short,20,55,678,662,16,19,-0.07561691170725077,-0.6002694651934501,-0.5449018688295828,1,1,0.0006140952931401944,27683,-0.075698068136126
Whole universe,short,20,100,678,662,16,19,-0.075698068136126,-0.6002694651934501,-0.5363292112402744,1,1,0.00043991494977637654,27278,-0.07565748992168839
Whole universe,short,55,10,678,662,34,39,-0.04353662860744467,-0.4508229605436314,-0.3567845555027355,3,1,0.17006237006237007,14430,-0.044152921353046826
Whole universe,short,55,20,678,662,36,45,-0.04476921409864898,-0.4557525461423042,-0.3593859058457053,3,1,0.01139903709997168,14124,-0.04476921409864898
Whole universe,short,55,55,678,662,36,46,-0.04476921409864898,-0.4550800062958194,-0.35660861729915444,3,1,7.088176920895946e-05,14108,-0.04476921409864898
Whole universe,short,55,100,678,662,35,46,-0.04476921409864898,-0.4550800062958194,-0.35420861564725775,3,1,0.0,14010,-0.04476921409864898
Whole universe,short,100,10,678,662,62,60,-0.03034173739780327,-0.3717188981228337,-0.2512963710776316,6,1,0.1653036746265402,9171,-0.030494165190878608
Whole universe,short,100,20,678,662,66,65,-0.030646592983953946,-0.3765937342379727,-0.2532305931845079,7,1,0.010008896797153026,8992,-0.030646592983953946
Whole universe,short,100,55,678,662,68,67,-0.030718293972912702,-0.3765937342379727,-0.2532305931845079,7,1,0.0,8980,-0.030718293972912702
Whole universe,short,100,100,678,662,68,67,-0.030718293972912702,-0.3765937342379727,-0.2532305931845079,7,1,0.0,8980,-0.030718293972912702
Whole universe,short,200,10,678,662,143,141,-0.017162128905279128,-0.2871333218365655,-0.14374385170637127,98,1,0.16135228582404917,5206,-0.018494264419886053
Whole universe,short,200,20,678,662,143,141,-0.018494264419886053,-0.28905759939415304,-0.152699231189105,103,1,0.00899491591709034,5114,-0.018577031903286884
Whole universe,short,200,55,678,662,145,143,-0.018659799386687714,-0.28905759939415304,-0.15267964622638402,103,1,0.0,5107,-0.018659799386687714
Whole universe,short,200,100,678,662,145,143,-0.018659799386687714,-0.28905759939415304,-0.15267964622638402,103,1,0.0,5107,-0.018659799386687714
Watchlist ETFs & crypto,both,10,10,21,21,3,4,-0.04285953987776636,-0.4719178780213865,-0.36247397304703355,0,0,0.16276477146042365,2691,-0.04186275758903013
Watchlist ETFs & crypto,both,10,20,21,21,4,4,-0.04186275758903013,-0.4893792858319006,-0.3490979567178818,0,0,0.008120649651972157,2586,-0.04186275758903013
Watchlist ETFs & crypto,both,10,55,21,21,3,4,-0.04186275758903013,-0.495471006335378,-0.3609917428285676,0,0,0.0007785130400934215,2569,-0.04186275758903013
Watchlist ETFs & crypto,both,10,100,21,21,4,4,-0.04186275758903013,-0.495471006335378,-0.3919564258434949,0,0,0.0007958615200955034,2513,-0.04186275758903013
Watchlist ETFs & crypto,both,20,10,21,21,3,4,-0.03926279673525657,-0.4861828252430994,-0.3656033774382367,0,0,0.1591020009760859,2049,-0.039401664788826785
Watchlist ETFs & crypto,both,20,20,21,21,5,7,-0.039540532842397,-0.505087921550939,-0.31914542583545036,0,0,0.004540867810292634,1982,-0.039540532842397
Watchlist ETFs & crypto,both,20,55,21,21,4,7,-0.04048094038978112,-0.5061716161049385,-0.3362780188691096,0,0,0.0,1969,-0.04048094038978112
Watchlist ETFs & crypto,both,20,100,21,21,6,7,-0.04048094038978112,-0.5061716161049385,-0.29062511259471435,0,0,0.0,1927,-0.04048094038978112
Watchlist ETFs & crypto,both,55,10,21,21,2,4,-0.019435071064427323,-0.39032191718427867,-0.2163946770792876,0,0,0.1336,1250,-0.021116526584384787
Watchlist ETFs & crypto,both,55,20,21,21,2,4,-0.02279798210434225,-0.40171107169039355,-0.21202893994595473,0,0,0.004918032786885246,1220,-0.02279798210434225
Watchlist ETFs & crypto,both,55,55,21,21,2,4,-0.02279798210434225,-0.4074503482269066,-0.21202893994595473,0,0,0.0,1220,-0.02279798210434225
Watchlist ETFs & crypto,both,55,100,21,21,3,4,-0.02279798210434225,-0.4074503482269066,-0.21081588391241834,0,0,0.0,1195,-0.02279798210434225
Watchlist ETFs & crypto,both,100,10,21,21,4,4,-0.018124704847461426,-0.3696374425421618,-0.18125246524398464,0,0,0.12629399585921325,966,-0.017126583177470178
Watchlist ETFs & crypto,both,100,20,21,21,4,4,-0.01612846150747893,-0.37059510709812093,-0.12865297953981403,0,0,0.006369426751592357,942,-0.01709179234245184
Watchlist ETFs & crypto,both,100,55,21,21,4,4,-0.01709179234245184,-0.37168193357975376,-0.12865297953981403,0,0,0.0,942,-0.01709179234245184
Watchlist ETFs & crypto,both,100,100,21,21,4,4,-0.01709179234245184,-0.37168193357975376,-0.12865297953981403,0,0,0.0,942,-0.01709179234245184
Watchlist ETFs & crypto,both,200,10,21,21,6,6,-0.004332064889769449,-0.284871560192862,-0.04181978750872184,0,0,0.1196236559139785,744,-0.004332064889769449
Watchlist ETFs & crypto,both,200,20,21,21,8,8,-0.0033004925530087936,-0.28575708944755995,-0.03200660653698206,0,0,0.005509641873278237,726,-0.004304224215877561
Watchlist ETFs & crypto,both,200,55,21,21,8,8,-0.004276383541985673,-0.28929185136551827,-0.0412923905582564,0,0,0.0,726,-0.004276383541985673
Watchlist ETFs & crypto,both,200,100,21,21,8,8,-0.004276383541985673,-0.28929185136551827,-0.0412923905582564,0,0,0.0,726,-0.004276383541985673
Watchlist ETFs & crypto,long,10,10,21,21,18,18,0.038549371004754196,-0.280224029742398,0.463828127804609,0,0,0.19372822299651568,1435,0.038549371004754196
Watchlist ETFs & crypto,long,10,20,21,21,18,17,0.03948452122113322,-0.2802240297423979,0.4958212374398818,0,0,0.01168736303871439,1369,0.03901694611294371
Watchlist ETFs & crypto,long,10,55,21,21,17,17,0.03948452122113322,-0.2802240297423979,0.47322062031716317,0,0,0.0,1356,0.03948452122113322
Watchlist ETFs & crypto,long,10,100,21,21,17,17,0.03948452122113322,-0.2802240297423979,0.49831430966566326,0,0,0.0,1323,0.03948452122113322
Watchlist ETFs & crypto,long,20,10,21,21,17,18,0.03427103777088991,-0.2366915624038225,0.3529064899282113,0,0,0.1864555848724714,1137,0.034413334282441754
Watchlist ETFs & crypto,long,20,20,21,21,18,17,0.0345556307939936,-0.21708391610233124,0.4144502994910255,0,0,0.007373271889400922,1085,0.03427103777088991
Watchlist ETFs & crypto,long,20,55,21,21,16,17,0.03354267402001754,-0.21708391610233124,0.35433161093725696,0,0,0.0,1074,0.03354267402001754
