scope,config,mode,instruments,eligible,positive_net,positive_gross,positive_common,median_cagr,median_drawdown,median_full_return,thin_samples,exhausted,trades,channel_exits,initial_exits,trailing_exits
Priority assets,channel_initial-e55-x10-i2-t3,long,60,60,45,47,45,0.020547143643393495,-0.214004046142721,0.2104350135254488,1,0,1975,1292,683,0
Priority assets,channel_initial-e55-x10-i2-t3,short,60,60,6,11,6,-0.041146657405800646,-0.39848343495000094,-0.3370571635911122,2,0,1124,514,610,0
Priority assets,channel_initial-e55-x10-i3-t3,both,60,60,19,29,23,-0.006887412951809335,-0.4104121620489013,-0.1591064198728438,1,0,2902,2367,535,0
Priority assets,channel_initial-e55-x10-i3-t3,long,60,60,45,49,46,0.020174163009157642,-0.2227858269968917,0.21429390264925674,1,0,1847,1589,258,0
Priority assets,channel_initial-e55-x10-i3-t3,short,60,60,6,11,6,-0.043876717666483434,-0.43449048021116315,-0.35256582710089,2,0,1057,779,278,0
Priority assets,channel_initial-e55-x20-i2-t3,both,60,60,31,36,31,0.000931690133029961,-0.4198040851439378,0.002196553778941346,1,0,2556,1146,1410,0
Priority assets,channel_initial-e55-x20-i2-t3,long,60,60,49,53,51,0.022572126920673563,-0.22893662145237242,0.1965519622435925,2,0,1542,819,723,0
Priority assets,channel_initial-e55-x20-i2-t3,short,60,60,5,13,5,-0.04046626782514723,-0.41789672217470336,-0.31275706888579036,2,0,1024,327,697,0
Priority assets,channel_initial-e55-x20-i3-t3,both,60,60,29,32,30,0.0018840029517163126,-0.4179007285802269,-0.0874383120239558,1,0,2260,1473,787,0
Priority assets,channel_initial-e55-x20-i3-t3,long,60,60,49,53,50,0.024219232667110457,-0.25488586477123726,0.2350458765723682,2,0,1360,980,380,0
Priority assets,channel_initial-e55-x20-i3-t3,short,60,60,5,12,5,-0.04266838829710218,-0.4262215385233351,-0.3542918155446697,2,0,912,495,417,0
Priority assets,channel_initial-e55-x55-i2-t3,both,60,60,33,40,38,0.006986817851483584,-0.3978403748032892,0.06149487820956989,2,0,1786,534,1252,0
Priority assets,channel_initial-e55-x55-i2-t3,long,60,60,54,57,54,0.043755747964375646,-0.27131952533251164,0.41363329811493044,3,0,986,396,590,0
Priority assets,channel_initial-e55-x55-i2-t3,short,60,60,1,5,1,-0.04336149012974183,-0.4656908483912949,-0.37999546498549214,2,0,949,150,799,0
Priority assets,channel_initial-e55-x55-i3-t3,both,60,60,33,38,33,0.0060847332808290355,-0.450926032166133,0.05801914164597366,2,0,1504,636,868,0
Priority assets,channel_initial-e55-x55-i3-t3,long,60,60,54,54,54,0.04466998868619876,-0.2895519499213548,0.49773717997353384,3,0,818,455,363,0
Priority assets,channel_initial-e55-x55-i3-t3,short,60,60,2,4,2,-0.05835768639045191,-0.5036816482796109,-0.4301075460705617,2,0,809,218,591,0
