scope,scenario,period,cost,assets,median_cagr,median_drawdown,positive,median_net,thin,short_history,failures
Priority assets,e5-x70-s3,validation,normal,60,0.0838774637029347,-0.3691576306478295,55,0.6223261870776635,2,2,0
Priority assets,e5-x70-s3,validation,double,60,0.07117279915368302,-0.375474743039491,53,0.5496822470370599,2,2,0
Priority assets,e5-x70-s3,validation,gross,60,0.0898443729151478,-0.3628113085007669,56,0.6984349466553074,2,2,0
Priority assets,e10-x40-s0,full,normal,60,0.05660691726709732,-0.3398619331412666,58,0.7991895791811173,2,0,0
Priority assets,e10-x40-s0,full,double,60,0.0503330612534485,-0.353073864639776,57,0.6785013272874157,2,0,0
Priority assets,e10-x40-s0,full,gross,60,0.06289020116377964,-0.3277956651321692,59,0.9166572310482288,2,0,0
Priority assets,e10-x40-s0,validation,normal,60,0.04494685024730227,-0.33214348816896777,46,0.30479752178289055,3,2,0
Priority assets,e10-x40-s0,validation,double,60,0.03730769504948095,-0.344717085988796,44,0.2584713563711478,3,2,0
Priority assets,e10-x40-s0,validation,gross,60,0.0532592850078083,-0.3193639884638601,50,0.3606256948680385,3,2,0
Priority assets,e10-x40-s2,full,normal,60,0.05298368934837783,-0.3258846664792663,57,0.7119454374022526,2,0,0
Priority assets,e10-x40-s2,full,double,60,0.044027256838025774,-0.3443195490272031,55,0.5774343277147979,2,0,0
Priority assets,e10-x40-s2,full,gross,60,0.06254522216142788,-0.3107745385691008,58,0.9106944660017233,2,0,0
Priority assets,e10-x40-s2,validation,normal,60,0.05035748497757164,-0.32156181217193386,48,0.3549443546972635,2,2,0
Priority assets,e10-x40-s2,validation,double,60,0.04196163967777866,-0.33808260691090003,45,0.28497311907344036,2,2,0
Priority assets,e10-x40-s2,validation,gross,60,0.05655877256174824,-0.3068242212223476,54,0.429702485052333,2,2,0
Priority assets,e10-x40-s3,full,normal,60,0.05827319075197168,-0.33888791334681817,58,0.7737275423025698,2,0,0
Priority assets,e10-x40-s3,full,double,60,0.05015436271045193,-0.3624314506327606,58,0.6549709663313241,2,0,0
Priority assets,e10-x40-s3,full,gross,60,0.06643068269181618,-0.325909878544366,59,0.9006474932741072,2,0,0
