scope,scenario,cost,year,assets,median_cagr,median_drawdown,positive,median_net,thin,short_history,failures
Priority assets,baseline-short,normal,2020,56,-0.031442129206082026,-0.1627810909535039,19,-0.03133623197461555,31,56,0
Priority assets,baseline-short,normal,2021,56,-0.054536665786294514,-0.09059566771993871,8,-0.054500373757119525,40,56,0
Priority assets,baseline-short,normal,2022,57,-0.0069085854548516235,-0.12975379934907205,25,-0.0068850236899544726,16,57,0
Priority assets,baseline-short,normal,2023,58,-0.07176482908414594,-0.1076094721085658,6,-0.07152822980656948,28,58,0
Priority assets,baseline-short,normal,2024,58,-0.04452934020336491,-0.07937584971521511,4,-0.04485696854634097,49,58,0
Priority assets,baseline-short,normal,2025,60,-0.030866934284321856,-0.11710760973651474,13,-0.030846138910471332,34,60,0
Priority assets,baseline-short,normal,2026,60,-0.05064531844376147,-0.08142734860630002,10,-0.03453610422029363,56,60,0
Priority assets,baseline-short,double,2020,56,-0.0408165409319996,-0.1716920236354632,16,-0.04067973828975141,31,56,0
Priority assets,baseline-short,double,2021,56,-0.06365870785915673,-0.09635736176270537,5,-0.06361655218198159,40,56,0
Priority assets,baseline-short,double,2022,57,-0.03164099122075015,-0.13863566198421762,23,-0.03153443145558554,16,57,0
Priority assets,baseline-short,double,2023,58,-0.08292202753526012,-0.11677119266824226,5,-0.08265030845184823,28,58,0
Priority assets,baseline-short,double,2024,58,-0.05299227285684904,-0.08564731467463438,3,-0.05338041195936688,49,58,0
Priority assets,baseline-short,double,2025,60,-0.04388311002901302,-0.12590123244418178,12,-0.043853742140782415,34,60,0
Priority assets,baseline-short,double,2026,60,-0.06025818176853126,-0.08639165550195127,9,-0.04115816798850663,56,60,0
Priority assets,adaptive-common,normal,2020,56,0.18789278221402894,-0.13697118633566407,53,0.1871930134729537,49,56,0
Priority assets,adaptive-common,normal,2021,56,0.19168897140418584,-0.09004678238165714,41,0.19154591896009876,48,56,0
Priority assets,adaptive-common,normal,2022,57,-0.1361888188760776,-0.2738163692300417,9,-0.13575591479947358,22,57,0
Priority assets,adaptive-common,normal,2023,58,0.06688200710418313,-0.1117630285234476,45,0.06664564344768953,57,58,0
Priority assets,adaptive-common,normal,2024,58,0.05163161567027308,-0.09643964335953747,38,0.05203029753622079,51,58,0
Priority assets,adaptive-common,normal,2025,60,0.04287996608045519,-0.13048344148227325,44,0.042849996168748405,60,60,0
Priority assets,adaptive-common,normal,2026,60,0.03594353963595509,-0.13608373360673082,37,0.02416754297331103,60,60,0
Priority assets,adaptive-common,double,2020,56,0.17740996491941285,-0.14315931883346034,53,0.17675201424405884,49,56,0
Priority assets,adaptive-common,double,2021,56,0.18572839381015593,-0.0902285402604277,40,0.18559012675323894,48,56,0
Priority assets,adaptive-common,double,2022,57,-0.1494220008325743,-0.2788904785984019,8,-0.14895076551812936,22,57,0
Priority assets,adaptive-common,double,2023,58,0.06528662377293581,-0.11351079991724938,45,0.06505607661316914,57,58,0
Priority assets,adaptive-common,double,2024,58,0.05122750973158763,-0.09998514533284403,36,0.05162299566741335,51,58,0
Priority assets,adaptive-common,double,2025,60,0.041908706913365346,-0.13404438414597958,43,0.04187942949789303,60,60,0
Priority assets,adaptive-common,double,2026,60,0.03441086484252254,-0.13969326751747785,37,0.02314248603280533,60,60,0
Priority assets,adaptive-class,normal,2020,56,0.1752680997813042,-0.13697118633566407,52,0.17461850936231182,53,56,0
Priority assets,adaptive-class,normal,2021,56,0.19168897140418584,-0.09004678238165714,41,0.19154591896009876,53,56,0
Priority assets,adaptive-class,normal,2022,57,-0.16445419008990025,-0.2907715002798812,8,-0.1639402654987514,18,57,0
Priority assets,adaptive-class,normal,2023,58,0.0881029811991283,-0.11744611795292248,50,0.08778860198740013,58,58,0
Priority assets,adaptive-class,normal,2024,58,0.0658961867121407,-0.10113233627214707,40,0.0664084513524873,54,58,0
Priority assets,adaptive-class,normal,2025,60,0.05009120544444556,-0.13849383452938135,43,0.05005607563950443,58,60,0
Priority assets,adaptive-class,normal,2026,60,0.035095133006579626,-0.12884046201401583,36,0.023600249963841913,60,60,0
Priority assets,adaptive-class,double,2020,56,0.16221319008654633,-0.14315931883346034,52,0.16161530682688174,53,56,0
Priority assets,adaptive-class,double,2021,56,0.18572839381015593,-0.0902285402604277,40,0.18559012675323894,53,56,0
Priority assets,adaptive-class,double,2022,57,-0.1750812676928093,-0.30141572619097046,8,-0.17453771962908793,18,57,0
Priority assets,adaptive-class,double,2023,58,0.08230087337950442,-0.1187040872957913,50,0.08200796830425539,58,58,0
Priority assets,adaptive-class,double,2024,58,0.06467251563122878,-0.10128548227316109,40,0.06517497591939625,54,58,0
Priority assets,adaptive-class,double,2025,60,0.047547710669800236,-0.14230083981103853,42,0.04751440356715564,58,60,0
Priority assets,adaptive-class,double,2026,60,0.034023004580463034,-0.13215168850115783,36,0.022882927724153568,60,60,0
Whole universe,e10-x55-s2,normal,2020,600,0.2088598283764247,-0.21719854666921407,450,0.20807536821759287,558,600,0
Whole universe,e10-x55-s2,normal,2021,609,0.14495442653317636,-0.1694036282912026,447,0.14484834892451537,547,609,0
Whole universe,e10-x55-s2,normal,2022,619,-0.17175701476680005,-0.3054397863208891,133,-0.17122268327651957,408,619,0
Whole universe,e10-x55-s2,normal,2023,628,0.07457572539621549,-0.19883524050907714,395,0.07431124781774656,536,628,0
Whole universe,e10-x55-s2,normal,2024,634,0.059756574521804384,-0.1793222053986524,396,0.06021977448894278,560,634,0
