id,scope,window,book,method,cost,ending,net,cagr,drawdown,average_gross,maximum_gross,funding_deficit_days,stale_position_days,maximum_stale_gross,fees,slippage,borrow,largest_symbol_fraction,largest_group_fraction,entries,closed_trades,assets_funded,long_contribution,short_contribution,max_identity_error,max_entry_budget_error,scaled_cap_requests,scaled_funding_requests,unfunded,sleeve_deficit_days,same_day_round_trips
universe__recent__long-initial__capped-vol__normal,universe,recent,long-initial,capped-vol,normal,170007.22145122974,0.7000722145122973,0.08271314595593537,-0.1427874154386256,0.7099821071822441,0.8803734969302834,0,0,0.0,1426.6080611693124,3433.8633905825673,0.0,0.0462623913554715,0.7079582549486512,8736,8254,674,0.7486769290298138,0.0,5.238689482212067e-10,0.0,844,278,305,0,16
universe__recent__short-reference__equal__normal,universe,recent,short-reference,equal,normal,57806.19164117244,-0.42193808358827567,-0.07879834688101062,-0.518777703978648,0.22278715973119334,0.8322680081982429,0,0,0.0,2323.77149275622,7087.524756007723,2347.645227885385,0.0022096806485970844,0.8121051302714792,18991,18724,674,0.0,-0.3043486688218047,3.6088749766349792e-09,0.0,0,0,0,0,217
universe__recent__short-reference__inverse-vol__normal,universe,recent,short-reference,inverse-vol,normal,68132.85151153328,-0.3186714848846671,-0.05584243004617717,-0.405024215068876,0.2001472975211252,0.7327840370164066,0,0,0.0,2256.822936634912,5277.910179933485,2279.4709886948963,0.053473751060496386,0.672504678568826,18991,18724,674,0.0,-0.22052944383207057,4.3655745685100555e-09,0.0,0,0,0,0,217
universe__recent__short-reference__capped-vol__normal,universe,recent,short-reference,capped-vol,normal,68132.85151153328,-0.3186714848846671,-0.05584243004617717,-0.405024215068876,0.2001472975211252,0.7327840370164066,0,0,0.0,2256.822936634912,5277.910179933485,2279.4709886948963,0.053473751060496386,0.672504678568826,18991,18724,674,0.0,-0.22052944383207057,4.3655745685100555e-09,0.0,0,0,0,0,217
universe__recent__combined-channel__equal__normal,universe,recent,combined-channel,equal,normal,144575.8061510358,0.445758061510358,0.05675657704438475,-0.1556617675127624,0.6261149571522518,0.8407751907169427,0,0,0.0,1990.423805274071,6186.487747277,1173.8226139426924,0.045415789152512966,0.8183595408111962,26641,25850,674,0.6914397375861869,-0.15217433441090236,1.8044374883174896e-09,2.2737367544323206e-13,0,387,103,0,217
universe__recent__combined-channel__inverse-vol__normal,universe,recent,combined-channel,inverse-vol,normal,120420.84476387403,0.20420844763874024,0.028218462271591527,-0.11118529511273445,0.5559899852526415,0.7480425998491934,0,0,0.0,1770.3238207547702,4241.63910922624,1139.7354943474481,0.04221943329274074,0.6212339540071398,26744,25953,674,0.38599015379804275,-0.11026472191603529,2.1827872842550278e-09,0.0,0,0,0,0,217
universe__recent__combined-channel__capped-vol__normal,universe,recent,combined-channel,capped-vol,normal,120420.84476387403,0.20420844763874024,0.028218462271591527,-0.11118529511273445,0.5559899852526415,0.7480425998491934,0,0,0.0,1770.3238207547702,4241.63910922624,1139.7354943474481,0.04221943329274074,0.6212339540071398,26744,25953,674,0.38599015379804275,-0.11026472191603529,2.1827872842550278e-09,0.0,0,0,0,0,217
universe__recent__combined-initial__equal__normal,universe,recent,combined-initial,equal,normal,144022.60503396383,0.44022605033963824,0.05615005252465566,-0.1441518208742646,0.6062015202822334,0.8235246121050313,0,0,0.0,2162.8179530749194,6647.747641641863,1173.8226139426924,0.04536239830960994,0.8043113212746121,27953,27199,674,0.6922442668371387,-0.15217433441090236,1.8044374883174896e-09,4.547473508864641e-13,0,280,79,0,238
universe__recent__combined-initial__inverse-vol__normal,universe,recent,combined-initial,inverse-vol,normal,121131.6671736032,0.21131667173603197,0.029125104672277358,-0.10608520433013346,0.5344664176585859,0.7218320246359672,0,0,0.0,1890.8005348886447,4486.513865365861,1139.7354943474481,0.03895655355962233,0.613545374227131,28032,27278,674,0.3967518925980679,-0.11026472191603529,2.1827872842550278e-09,0.0,0,0,0,0,238
universe__recent__combined-initial__capped-vol__normal,universe,recent,combined-initial,capped-vol,normal,121131.6671736032,0.21131667173603197,0.029125104672277358,-0.10608520433013346,0.5344664176585859,0.7218320246359672,0,0,0.0,1890.8005348886447,4486.513865365861,1139.7354943474481,0.03895655355962233,0.613545374227131,28032,27278,674,0.3967518925980679,-0.11026472191603529,2.1827872842550278e-09,0.0,0,0,0,0,238
universe__recent__buy-hold__equal__normal,universe,recent,buy-hold,equal,normal,289113.4254688478,1.891134254688478,0.17232172969930137,-0.3347877357208633,0.9750671002005419,0.9984695353548887,0,56,67.87060402435627,49.706093744232945,95.62854168367484,0.0,0.06041009800294959,0.9877476152985692,675,0,675,1.892587601042748,0.0,9.89530235528946e-10,0.0,0,0,0,0,0
universe__recent__long-channel__equal__double,universe,recent,long-channel,equal,double,220888.10340810215,1.2088810340810214,0.12600723676131897,-0.23456487779833446,0.8380178180848608,1.0,0,0,0.0,3227.3610823444806,10288.89893573998,0.0,0.0567717437728985,0.9869658162016732,7649,7125,674,1.3440436342618696,0.0,8.440110832452774e-10,9.094947017729282e-13,0,400,104,0,0
universe__recent__long-channel__inverse-vol__double,universe,recent,long-channel,inverse-vol,double,166793.35098606654,0.6679335098606654,0.07962306342107861,-0.1736070504722499,0.7827868475939197,0.9747504778617525,0,0,0.0,2518.6417652931705,6284.863440247577,0.0,0.0468471516274329,0.8086835603869915,7753,7229,674,0.7559685619160788,0.0,6.111804395914078e-10,0.0,0,0,0,0,0
universe__recent__long-channel__capped-vol__double,universe,recent,long-channel,capped-vol,double,162546.51978417425,0.6254651978417425,0.07546120881705543,-0.16207290793641815,0.7348504499028251,0.9002488790299309,0,0,0.0,2316.000748891714,5718.702736132167,0.0,0.04648931259519802,0.7105508566992427,7428,6913,674,0.7058122326919797,0.0,3.4924596548080444e-10,0.0,845,300,325,0,0
